BLKTYPE,BLKNAME,TYPE,TOP/BOTTOM,ROWS,COLS,FRAMES
DSP,DSP_L_X48Y100,0,T,0,48,2
INT,INT_R_X49Y100,0,T,0,49,26
CLB,CLBBLM_R_X49Y100,0,T,0,49,10
INT,INT_L_X50Y100,0,T,0,50,26
CLB,CLBBLM_L_X50Y100,0,T,0,50,10
INT,INT_R_X51Y100,0,T,0,51,26
BRAM,BRAM_R_X51Y100,0,T,0,51,2
INT,INT_L_X52Y100,0,T,0,52,26
CLB,CLBBLL_L_X52Y100,0,T,0,52,10
INT,INT_R_X53Y100,0,T,0,53,26
CLB,CLBBLM_R_X53Y100,0,T,0,53,10
INT,INT_L_X54Y100,0,T,0,54,26
CLB,CLBBLL_L_X54Y100,0,T,0,54,10
INT,INT_R_X55Y100,0,T,0,55,26
CLB,CLBBLM_R_X55Y100,0,T,0,55,10
INT,INT_L_X56Y100,0,T,0,56,26
CMT,CMT_TOP_L_LOWER_B_X139Y113,0,T,0,56,4
INT,INT_R_X57Y100,0,T,0,57,26
IOI,RIOI3_SING_X57Y100,0,T,0,57,16
PADFRM,,,,,,2
INT,INT_L_X0Y150,0,T,1,0,26
IOI,LIOI3_SING_X0Y150,0,T,1,0,16
INT,INT_R_X1Y150,0,T,1,1,26
CMT,CMT_TOP_R_LOWER_B_X8Y13,0,T,1,1,4
INT,INT_L_X2Y150,0,T,1,2,26
CLB,CLBLL_L_X2Y150,0,T,1,2,10
INT,INT_R_X3Y150,0,T,1,3,26
CLB,CLBLM_R_X3Y150,0,T,1,3,10
INT,INT_L_X4Y150,0,T,1,4,26
CLB,CLBLL_L_X4Y150,0,T,1,4,10
INT,INT_R_X5Y150,0,T,1,5,26
CLB,CLBLM_R_X5Y150,0,T,1,5,10
INT,INT_L_X6Y150,0,T,1,6,26
BRAM,BRAM_INT_L_X6Y150,0,T,1,6,2
INT,INT_R_X7Y150,0,T,1,7,26
CLB,CLBLM_R_X7Y150,0,T,1,7,10
INT,INT_L_X8Y150,0,T,1,8,26
CLB,CLBLM_L_X8Y150,0,T,1,8,10
INT,INT_R_X9Y150,0,T,1,9,26
DSP,DSP_R_X9Y150,0,T,1,9,2
INT,INT_L_X10Y150,0,T,1,10,26
CLB,CLBLM_L_X10Y150,0,T,1,10,10
INT,INT_R_X11Y150,0,T,1,11,26
CLB,CLBLM_R_X11Y150,0,T,1,11,10
INT,INT_L_X12Y150,0,T,1,12,26
CLB,CLBLL_L_X12Y150,0,T,1,12,10
INT,INT_R_X13Y150,0,T,1,13,26
CLB,CLBLM_R_X13Y150,0,T,1,13,10
INT,INT_L_X14Y150,0,T,1,14,26
CLB,CLBLL_L_X14Y150,0,T,1,14,10
INT,INT_R_X15Y150,0,T,1,15,26
CLB,CLBLL_R_X15Y150,0,T,1,15,10
INT,INT_L_X16Y150,0,T,1,16,26
CLB,CLBLL_L_X16Y150,0,T,1,16,10
INT,INT_R_X17Y150,0,T,1,17,26
CLB,CLBLL_R_X17Y150,0,T,1,17,10
INT,INT_L_X18Y150,0,T,1,18,26
CFG,,0,T,1,18,4
INT,INT_R_X19Y150,0,T,1,19,26
HROW,CLBLL_R_X19Y150,0,T,1,19,10
INT,INT_L_X20Y150,0,T,1,20,26
CLB,CLBLL_L_X20Y150,0,T,1,20,10
INT,INT_R_X21Y150,0,T,1,21,26
CLB,CLBLM_R_X21Y150,0,T,1,21,10
INT,INT_L_X22Y150,0,T,1,22,26
CLB,CLBLL_L_X22Y150,0,T,1,22,10
INT,INT_R_X23Y150,0,T,1,23,26
CLB,CLBLM_R_X23Y150,0,T,1,23,10
INT,INT_L_X24Y150,0,T,1,24,26
CLB,CLBLM_L_X24Y150,0,T,1,24,10
INT,INT_R_X25Y150,0,T,1,25,26
